[2]
[3]
[4]
[4]
[3]
[4]
[5]
[6]
[7]
[8]
[9]
[9]
[10]
[11]
[12]
[13]
[14]
[15]
[16]
[16]
[17]
[18]
[19]
[20]
[21]
[22]
[23]
[24]
[23]
[22]
[23]
[24]
[25]
[26]
[25]
[26]
[27]
[28]
[29]
[30]
[31]
[32]
[33]
[34]
[35]
[36]
[36]
[37]
[36]
[37]
[38]
[39]
[40]
[41]
[42]
[43]
[44]
[45]
"[45, 1]"
"[46, 1]"
"[46, 1]"
"[47, 1]"
"[48, 1]"
"[48, 1]"
"[49, 1]"
"[50, 1]"
"[51, 1]"
"[52, 1]"
"[53, 1]"
"[54, 1]"
"[54, 1]"
"[55, 1]"
"[56, 1]"
"[57, 1]"
"[56, 1]"
"[56, 2]"
"[55, 2]"
"[56, 2]"
"[57, 2]"
"[58, 2]"
"[59, 2]"
"[60, 2]"
"[59, 2]"
"[58, 2]"
"[59, 2]"
"[60, 2]"
"[61, 2]"
"[62, 2]"
"[62, 3]"
"[63, 3]"
"[64, 3]"
"[65, 3]"
"[66, 3]"
"[67, 3]"
"[68, 3]"
"[67, 3]"
"[68, 3]"
"[69, 3]"
"[70, 3]"
"[71, 3]"
"[72, 3]"
"[71, 3]"
"[72, 3]"
"[71, 3]"
"[72, 3]"
"[71, 3]"
"[70, 3]"
"[70, 3]"
"[71, 3]"
"[72, 3]"
"[73, 3]"
"[74, 3]"
"[75, 3]"
"[76, 3]"
"[75, 3]"
"[76, 3]"
"[77, 3]"
"[76, 3]"
"[77, 3]"
"[77, 4]"
"[78, 4]"
"[77, 4]"
"[78, 4]"
"[79, 4]"
"[80, 4]"
"[81, 4]"
"[81, 5]"
"[82, 5]"
"[83, 5]"
"[84, 5]"
"[83, 5]"
"[84, 5]"
"[85, 5]"
"[85, 6]"
"[86, 6]"
"[87, 6]"
"[86, 6]"
"[87, 6]"
"[88, 6]"
"[87, 6]"
"[86, 6]"
"[87, 6]"
"[86, 6]"
"[18, 1]"
"[19, 1]"
"[20, 1]"
"[21, 1]"
"[22, 1]"
"[23, 1]"
"[24, 1]"
"[25, 1]"
"[24, 1]"
"[25, 1]"
"[26, 1]"
"[26, 2]"
"[27, 2]"
"[28, 2]"
"[29, 2]"
"[30, 2]"
"[31, 2]"
"[32, 2]"
"[33, 2]"
"[34, 2]"
"[35, 2]"
"[36, 2]"
"[37, 2]"
"[38, 2]"
"[39, 2]"
"[39, 3]"
"[40, 3]"
"[41, 3]"
"[42, 3]"
"[43, 3]"
"[44, 3]"
"[45, 3]"
"[46, 3]"
"[47, 3]"
"[48, 3]"
"[49, 3]"
"[50, 3]"
"[51, 3]"
"[52, 3]"
"[53, 3]"
"[53, 4]"
"[54, 4]"
"[53, 4]"
"[54, 4]"
"[54, 4]"
"[55, 4]"
"[56, 4]"
"[57, 4]"
"[57, 4]"
"[58, 4]"
"[59, 4]"
"[60, 4]"
"[61, 4]"
"[62, 4]"
"[63, 4]"
"[63, 4, 1]"
"[62, 4, 1]"
"[63, 4, 1]"
"[64, 4, 1]"
"[65, 4, 1]"
"[66, 4, 1]"
"[65, 4, 1]"
"[66, 4, 1]"
"[65, 4, 1]"
"[66, 4, 1]"
"[66, 4, 2]"
"[66, 5, 2]"
"[67, 5, 2]"
"[68, 5, 2]"
"[69, 5, 2]"
"[70, 5, 2]"
"[69, 5, 2]"
"[70, 5, 2]"
"[71, 5, 2]"
"[72, 5, 2]"
"[73, 5, 2]"
"[74, 5, 2]"
"[73, 5, 2]"
"[74, 5, 2]"
"[75, 5, 2]"
"[76, 5, 2]"
"[75, 5, 2]"
"[74, 5, 2]"
"[73, 5, 2]"
"[72, 5, 2]"
"[73, 5, 2]"
"[72, 5, 2]"
"[73, 5, 2]"
"[73, 5, 1]"
"[74, 5, 1]"
"[75, 5, 1]"
"[76, 5, 1]"
"[75, 5, 1]"
"[74, 5, 1]"
"[75, 5, 1]"
"[76, 5, 1]"
"[75, 5, 1]"
"[76, 5, 1]"
"[77, 5, 1]"
"[76, 5, 1]"
"[77, 5, 1]"
"[78, 5, 1]"
"[79, 5, 1]"
"[78, 5, 1]"
"[77, 5, 1]"
"[78, 5, 1]"
"[79, 5, 1]"
"[80, 5, 1]"
"[81, 5, 1]"
"[81, 4, 1]"
"[80, 4, 1]"
"[81, 4, 1]"
"[82, 4, 1]"
"[83, 4, 1]"
"[84, 4, 1]"
"[85, 4, 1]"
"[84, 4, 1]"
"[85, 4, 1]"
"[86, 4, 1]"
"[87, 4, 1]"
"[87, 5, 1]"
"[87, 5, 2]"
"[88, 5, 2]"
"[87, 5, 2]"
"[88, 5, 2]"
"[89, 5, 2]"
"[90, 5, 2]"
"[89, 5, 2]"
"[90, 5, 2]"
"[91, 5, 2]"
"[90, 5, 2]"
"[91, 5, 2]"
"[92, 5, 2]"
"[91, 5, 2]"
"[92, 5, 2]"
"[91, 5, 2]"
"[92, 5, 2]"
"[93, 5, 2]"
"[94, 5, 2]"
"[93, 5, 2]"
"[94, 5, 2]"
"[95, 5, 2]"
"[96, 5, 2]"
"[97, 5, 2]"
"[98, 5, 2]"
"[99, 5, 2]"
"[99, 6, 2]"
"[100, 6, 2]"
"[99, 6, 2]"
"[100, 6, 2]"
"[101, 6, 2]"
"[102, 6, 2]"
"[101, 6, 2]"
"[100, 6, 2]"
"[101, 6, 2]"
"[102, 6, 2]"
"[103, 6, 2]"
"[104, 6, 2]"
"[105, 6, 2]"
"[106, 6, 2]"
"[107, 6, 2]"
"[108, 6, 2]"
"[109, 6, 2]"
"[110, 6, 2]"
"[109, 6, 2]"
"[108, 6, 2]"
"[109, 6, 2]"
"[110, 6, 2]"
"[110, 5, 2]"
"[111, 5, 2]"
"[112, 5, 2]"
"[113, 5, 2]"
"[113, 5, 2]"
"[114, 5, 2]"
"[115, 5, 2]"
"[116, 5, 2]"
"[117, 5, 2]"
"[118, 5, 2]"
"[119, 5, 2]"
"[118, 5, 2]"
"[119, 5, 2]"
"[118, 5, 2]"
"[118, 5, 2]"
"[119, 5, 2]"
"[119, 6, 2]"
"[120, 6, 2]"
"[119, 6, 2]"
"[118, 6, 2]"
"[119, 6, 2]"
"[118, 6, 2]"
"[119, 6, 2]"
"[118, 6, 2]"
"[119, 6, 2]"
"[120, 6, 2]"
"[121, 6, 2]"
"[122, 6, 2]"
"[123, 6, 2]"
"[124, 6, 2]"
"[123, 6, 2]"
"[124, 6, 2]"
"[125, 6, 2]"
"[126, 6, 2]"
"[125, 6, 2]"
"[124, 6, 2]"
"[125, 6, 2]"
"[124, 6, 2]"
"[125, 6, 2]"
"[126, 6, 2]"
"[127, 6, 2]"
"[128, 6, 2]"
"[129, 6, 2]"
